id_puerto;nom_puerto;abreviatura_pais;geometry
CLTAL;Talcahuano;CHL;POINT (-73.09679999999997 -36.68016613200001)
VEPAM;Pamatacual;VEN;POINT (-64.56720000000001 10.235333868)
ILASH;Ashdod;ISR;POINT (34.648196423 31.824750236)
BRITQ;Itaqui;BRA;POINT (-44.3648 -2.583466132000012)
PLSZZ;Szczecin;POL;POINT (14.56310000000002 53.42793386800003)
SAJED;Jeddah;SAU;POINT (39.18049999999999 21.48133386799998)
MXGYM;Guaymas;MEX;POINT (-110.8762 27.916033868)
TRIZM;Izmir;TUR;POINT (27.16849999999999 38.45433387000003)
IDBGG;Banggai;IDN;POINT (123.4933 -1.586666132000005)
IDTTE;Ternate;IDN;POINT (127.3828999999999 0.7860338680000041)
CRPAS;Puntarenas;CRI;POINT (-84.84440000000001 9.965233867999984)
TTCHA;Chaguaramas;TTO;POINT (-61.66489999999999 10.68973386800002)
VCKTN;Kingstown;VCT;POINT (-61.23200000000003 13.15033386800002)
BZBZE;Belize City;BLZ;POINT (-88.18490000000003 17.48543386799997)
JMPOT;Port Antonio;JAM;POINT (-76.38290000000001 18.16893386800001)
JMOCJ;Ocho Rios;JAM;POINT (-77.1114 18.40773386799998)
VIFRD;Frederiksted;VIR;POINT (-64.88940000000002 17.718333868)
MXSCR;San Carlos;MEX;POINT (-112.115 24.78743386799999)
ARUSH;Ushuaia;ARG;POINT (-68.29840000000002 -54.80326613199998)
CLIQQ;Iquique;CHL;POINT (-70.1474 -20.20606613199999)
DOLRM;La Romana;DOM;POINT (-68.96089999999998 18.41633386799998)
CUMZO;Manzanillo;CUB;POINT (-77.12329999999997 20.35383386799998)
CUMAR;Mariel;CUB;POINT (-82.75549999999998 23.00853386799997)
PAPAM;Almirante;PAN;POINT (-82.39490000000001 9.286033868000004)
HNPCR;Puerto Cortes;HND;POINT (-87.93439999999998 15.82193386799997)
MXSCX;Salina Cruz;MEX;POINT (-95.20190000000002 16.15873386800001)
KNBAS;Basseterre;KNA;POINT (-62.71570000000003 17.29273386800003)
CUGER;Nueva Gerona;CUB;POINT (-82.7867 21.91093386799997)
BSRSD;Rock Sound;BHS;POINT (-76.19279999999998 24.88053386799999)
TRTAS;Tasucu;TUR;POINT (33.88749999999999 36.31453386800001)
TRBXN;Bodrum;TUR;POINT (27.43669999999997 37.02943386800001)
ARSLO;San Lorenzo;ARG;POINT (-60.72280000000001 -32.75456613199998)
VEMTV;Matanzas;VEN;POINT (-62.8408 8.284333867999976)
PESUP;Supe;PER;POINT (-77.75549999999998 -10.79896613199998)
MGSVB;Sambava;MDG;POINT (50.15724323299997 -14.25297352699999)
PAPED;Pedregal;PAN;POINT (-82.43189999999998 8.368933867999999)
PESAM;Samanco;PER;POINT (-78.47680000000003 -9.329666132)
GTLIV;Livingston;GTM;POINT (-88.74822222699999 15.82562361800001)
CUMEL;Media Luna;CUB;POINT (-77.44319999999999 20.15693386800001)
TRORD;Ordu;TUR;POINT (37.88389999999998 40.985333868)
IDBMU;Bima;IDN;POINT (118.7198279310001 -8.450115120000021)
SBGZO;Gizo;SLB;POINT (156.8207 -8.081866132000016)
IDPRO;Probolinggo;IDN;POINT (113.217631915 -7.737118348000024)
MZPEB;Pebane;MOZ;POINT (38.13409999999999 -17.265366132)
IDAMP;Lembar;IDN;POINT (116.073421413 -8.728899827000021)
ECLLD;La Libertad;ECU;POINT (-80.9074 -2.218766131999985)
LRGRE;Greenville;LBR;POINT (-9.030899999999974 4.996733867999978)
EGRAG;Ras Gharib;EGY;POINT (33.08249999999998 28.36903386799997)
IECLI;Clifden;IRL;POINT (-10.02589999999998 53.48973386799997)
DESLS;Schleswig;DEU;POINT (9.556100000000015 54.51573386799998)
GBCYN;Cairnryan;GBR;POINT (-5.014400000000023 54.96293386799999)
DKRNN;Ronne;DNK;POINT (14.69569999999999 55.09733386800002)
DKNVD;Naestved;DNK;POINT (11.76130000000001 55.22773386799997)
DKRKB;Rudkobing;DNK;POINT (10.71629999999999 54.94133386800002)
DKSKV;Skive;DNK;POINT (9.055499999999995 56.57423386800002)
DKNRS;Norresundby;DNK;POINT (9.934500000000014 57.04903386799998)
NOREK;Rekefjord;NOR;POINT (6.247900000000016 58.331333868)
NOPOR;Porsgrunn;NOR;POINT (9.638699999999972 59.139533868)
NOSPG;Sarpsborg;NOR;POINT (11.13130000000001 59.284933868)
SEKSD;Karlstad;SWE;POINT (13.52269999999999 59.37293386800002)
NODRM;Drammen;NOR;POINT (10.2165 59.74153386799998)
NOLEV;Levanger;NOR;POINT (11.30290000000002 63.755933868)
FRLTR;Le Treport;FRA;POINT (1.377499999999998 50.06813386800002)
USLOR;Lorain;USA;POINT (-82.19970000000001 41.46073386799998)
FJSUV;Savusavu;FJI;POINT (179.333333333 -16.76666618299998)
SBNOR;Noro;SLB;POINT (157.2001 -8.212666131999981)
USTWR;Two Rivers;USA;POINT (-87.5573 44.144733868)
USHPY;Baytown;USA;POINT (-95.0136 29.714733868)
USPGL;Pascagoula;USA;POINT (-88.56029999999998 30.34733386800002)
USGHN;Grand Haven;USA;POINT (-86.22129999999999 43.06673386799997)
USMRH;Morehead City;USA;POINT (-76.67450000000002 34.71773386799998)
USMJK;Morro Bay;USA;POINT (-120.8496 35.35683386800002)
LYTIP;Tripoli;LBY;POINT (13.20377931199999 32.89893795199998)
CACLE;Clarenville;CAN;POINT (-53.96949999999998 48.16053386800002)
USYKW;Yorktown;USA;POINT (-76.4984 37.222433868)
USRIC;Richmond;USA;POINT (-77.46559999999999 37.52633386799999)
SEVBY;Visby;SWE;POINT (18.2955 57.64003386799999)
ITPZL;Pozzallo;ITA;POINT (14.84570000000002 36.72093386799997)
ITUST;Ustica;ITA;POINT (13.1857 38.70493386800001)
ITQCZ;Catanzaro;ITA;POINT (16.62450000000001 38.82013386800003)
DESTL;Stralsund;DEU;POINT (13.11329999999998 54.303933868)
FIHMN;Hamina;FIN;POINT (27.18150000000003 60.56693386799998)
FIKAS;Kaskinen;FIN;POINT (21.2373 62.38203386800001)
