omimatricu;nombrenave;codigo_pais;id_agencia_arribo;codigotiponave;anoconstru;trb;dwt;eslora
1024249;WAKAYA;USA;73.072.533;516;2000;34;0;15
1028232;GOLDEN SKYE;USA;73.072.533;516;2000;43;0;15
10284ZA2003;ZWERVER;NLD;900.025.233-2;516;2000;10;0;11.7
1028925;BEST DAY EVER;USA;73.072.533;516;2000;30;0;13.6
1028972;SHARKY'S REVENGE;USA;900.504.340-8;516;2000;22;0;46
1029331;LOAFERS GLORY II;USA;73.072.533;516;2000;23;24;13
1031662;CASA BLANCA;USA;18.002.138-2;516;2000;21;0;11.85
1031707;CHE BELLO;USA;900.342.455-1;516;2000;14;0;11.3
10318ZA;TRUE BLUE;NLD;31.377.890-1;516;2000;20;0;13.55
10318ZA2003;TRUE BLUE;NLD;900.025.233-2;516;2000;15;15.8;13.5
1032392;LIFE IS GOOD;USA;900.342.455-1;516;2000;17;0;13.47
1032622;UJAM`N;USA;900.025.233-2;516;2000;22;25;14.3
1032880;WIND DRAGON;USA;900.025.233-2;516;2000;22;2;12.72
1033358;LE CHAT BEAUTE;USA;900.504.340-8;516;2000;17;0;13
1034420;LOCURA;USA;900.371.443-5;516;2000;63;0;25
1034934;MY INSPIRATION;USA;900.290.842-2;516;2000;15;0;10.66
1034994;ARGONAUTA;USA;73.072.533;516;2000;20;0;14.32
1037323;AVALANCHE;USA;9.085.696;516;2000;27;0;16.45
1037373;ERBEN RENEWAL;USA;900.025.233-2;810;2000;32;26;12.82
1037392;WILDEST DREAM;USA;900.504.340-8;516;2000;22;0;14.81
10375ZA2004;REBEL;NLD;900.025.233-2;516;2000;11;0;11.99
1037837;ALLIANCE;USA;73.072.533;516;2000;51;0;23.1
1038349;LEGACY;USA;900.504.340-8;516;2000;13;0;13.2
1038432;JUNIPER;USA;73.072.533;516;2000;26;0;12.8
1038492;LEXINGTON;USA;900.025.233-2;516;2000;25;0;14
1039458;SHANGO;USA;806.013.086-3;516;2000;18;0;12.22
1039676;KOKOPELLI;USA;900.025.233-2;516;2000;28;0;14
1039848;HAPPY TIME;USA;73.072.533;516;2000;18;0;12.1
1040253;PLANE TO SEA;USA;900.342.455-1;516;2000;31;0;14.9
1040579;DREAM CATCHER;USA;900.141.249-6;516;2000;19;0;12.5
1041064;ESCAPADE;USA;806.013.086-3;516;2000;17;0;15
1041100;SARAH G;USA;73.072.533;516;2000;27;0;18.2
1041574;PIPE DREAM IX;USA;900.330.976-3;516;2000;26;0;16
1041825;PURPLE DREAM;USA;901.212.191-7;810;2000;31;1;16.5
1041876;UN MUNDO;USA;900.504.340-8;516;2000;37;0;15.55
10418-ZA-2004;"S.Y. ""PACIFIC BLUE""";NLD;806.013.086-3;516;2000;14;0;13.2
1044284;INDAGO;USA;900.025.233-2;516;2000;20;0;14.24
1044891;CEST LA VIE;USA;900.025.233-2;516;2000;35;0;14
1044960;HEAVY METAL;USA;900.504.340-8;516;2000;74;0;18.29
1045430;COQUI;USA;900.330.976-3;516;2000;14;12;11.2
1045515;COOL CHANGE;USA;73.072.533;516;2000;18;0;12
1047024;BLUE HIGHWAY;USA;73.072.533;516;2000;18;0;14.33
1047055;ONDINE;AUS;900.863.379-3;810;2000;42;76;16
1047372;MEANT TO BE;USA;900.504.340-8;516;2000;9;0;13.1
1047418;DREAMBOAT;USA;900.342.455-1;516;2000;9;0;11.24
1047772;DREAM CATCHER;USA;73.072.533;516;2000;17;3.5;13.2
1047828;ISLAND TIME;USA;9.085.696;516;2000;10;0;9.9
